"year","month","day","mode","route","peak","numerator","denominator"
2023,4,5,"Bus","86","OFF_PEAK",297,474
2023,4,5,"Bus","86","PEAK",191,278
2023,4,6,"Bus","1","OFF_PEAK",1012,1386
2023,4,6,"Bus","1","PEAK",316,480
2023,4,6,"Bus","86","OFF_PEAK",312,498
2023,4,6,"Bus","86","PEAK",213,298
2023,4,7,"Bus","1","OFF_PEAK",908,1204
2023,4,7,"Bus","1","PEAK",260,355
2023,4,7,"Bus","86","OFF_PEAK",295,464
2023,4,7,"Bus","86","PEAK",167,233
2023,4,8,"Bus","1","OFF_PEAK",1249,1791
2023,4,8,"Bus","86","OFF_PEAK",294,530
2023,4,9,"Bus","1","OFF_PEAK",1075,1386
2023,4,9,"Bus","86","OFF_PEAK",259,364
2023,4,10,"Bus","1","OFF_PEAK",1135,1546
2023,4,10,"Bus","1","PEAK",358,464
2023,4,10,"Bus","86","OFF_PEAK",359,495
2023,4,10,"Bus","86","PEAK",197,259
2023,4,11,"Bus","1","OFF_PEAK",1047,1500
2023,4,11,"Bus","1","PEAK",349,477
2023,4,11,"Bus","86","OFF_PEAK",323,474
2023,4,11,"Bus","86","PEAK",188,251
2023,4,12,"Bus","1","OFF_PEAK",1019,1403
2023,4,12,"Bus","1","PEAK",376,493
2023,4,12,"Bus","86","OFF_PEAK",263,462
2023,4,12,"Bus","86","PEAK",165,236
2023,4,13,"Bus","1","OFF_PEAK",938,1269
2023,4,13,"Bus","1","PEAK",318,420
2023,4,13,"Bus","86","OFF_PEAK",269,484
2023,4,13,"Bus","86","PEAK",201,280
2023,4,14,"Bus","1","OFF_PEAK",927,1284
2023,4,14,"Bus","1","PEAK",301,409
2023,4,14,"Bus","86","OFF_PEAK",289,487
2023,4,14,"Bus","86","PEAK",200,272
2023,4,15,"Bus","1","OFF_PEAK",1146,1631
2023,4,15,"Bus","86","OFF_PEAK",326,522
2023,4,16,"Bus","1","OFF_PEAK",1102,1428
2023,4,16,"Bus","86","OFF_PEAK",225,364
2023,4,17,"Bus","1","OFF_PEAK",1394,1851
2023,4,17,"Bus","86","OFF_PEAK",276,509
2023,4,18,"Bus","1","OFF_PEAK",1107,1487
2023,4,18,"Bus","1","PEAK",365,484
2023,4,18,"Bus","86","OFF_PEAK",320,478
2023,4,18,"Bus","86","PEAK",200,270
2023,4,20,"Bus","1","OFF_PEAK",861,1137
2023,4,20,"Bus","1","PEAK",247,340
2023,4,20,"Bus","86","OFF_PEAK",306,477
2023,4,20,"Bus","86","PEAK",177,250
2023,4,21,"Bus","1","OFF_PEAK",838,1133
2023,4,21,"Bus","1","PEAK",272,365
2023,4,21,"Bus","86","OFF_PEAK",298,471
2023,4,21,"Bus","86","PEAK",166,221
2023,4,22,"Bus","1","OFF_PEAK",1307,1842
2023,4,22,"Bus","86","OFF_PEAK",322,531
2023,4,23,"Bus","1","OFF_PEAK",992,1295
2023,4,23,"Bus","86","OFF_PEAK",224,357
2023,4,24,"Bus","1","OFF_PEAK",967,1255
