"year","month","day","mode","route","peak","numerator","denominator"
2023,3,23,"Rail","Red","PEAK",81918.595704677,113169.467912885
2023,3,24,"Rail","Green-D","OFF_PEAK",20088.589505964,24681.777014474
2023,3,24,"Rail","Green-D","PEAK",15208.951262861,18319.369236129
2023,3,24,"Rail","Red","OFF_PEAK",92073.601321666,125484.356302589
2023,3,24,"Rail","Red","PEAK",83397.305055543,112823.5996533
2023,3,25,"Rail","Green-D","OFF_PEAK",20632.16507312,27095.839883109
2023,3,25,"Rail","Red","OFF_PEAK",3031.62070705,3609.248686997
2023,3,26,"Rail","Green-D","OFF_PEAK",15104.697913982,18788.819402899
2023,3,26,"Rail","Red","OFF_PEAK",2064.732243181,2422.118929838
2023,3,27,"Rail","Green-D","OFF_PEAK",18677.83292044,24064.996896506
2023,3,27,"Rail","Green-D","PEAK",13165.983298581,16968.485384675
2023,3,27,"Rail","Red","OFF_PEAK",97334.178692281,126727.97579715
2023,3,27,"Rail","Red","PEAK",83834.37856413,113800.5965539
2023,3,28,"Rail","Green-D","OFF_PEAK",19059.332404971,24172.601322678
2023,3,28,"Rail","Green-D","PEAK",14564.649145638,17889.342628129
2023,3,28,"Rail","Red","OFF_PEAK",94879.790757665,127586.358188196
2023,3,28,"Rail","Red","PEAK",78793.647882637,109687.494150501
2023,3,29,"Rail","Green-D","OFF_PEAK",18461.250092195,23995.53502948
2023,3,29,"Rail","Green-D","PEAK",14124.480765289,17936.181094458
2023,3,29,"Rail","Red","OFF_PEAK",95932.718816939,127657.670219499
2023,3,29,"Rail","Red","PEAK",84754.331851431,113129.124185065
2023,3,30,"Rail","Green-D","OFF_PEAK",12800.595020595,18871.064157491
2023,3,30,"Rail","Green-D","PEAK",10846.422786402,13868.65098489
2023,3,30,"Rail","Red","OFF_PEAK",109471.245040575,124885.01812161
2023,3,30,"Rail","Red","PEAK",99764.046208926,108916.917754755
2023,3,31,"Rail","Green-D","OFF_PEAK",17733.111955113,23796.766044158
2023,3,31,"Rail","Green-D","PEAK",13180.628569625,17898.699084754
2023,3,31,"Rail","Red","OFF_PEAK",110254.789757098,127755.22144718
2023,3,31,"Rail","Red","PEAK",97819.991543529,113568.160523553
2023,4,1,"Rail","Green-D","OFF_PEAK",14455.770229022,19355.073552155
2023,4,1,"Rail","Red","OFF_PEAK",63338.254823926,69769.311266014
2023,4,2,"Rail","Green-D","OFF_PEAK",10318.877161401,14015.647703735
2023,4,2,"Rail","Red","OFF_PEAK",44584.234091339,50848.79259125
2023,4,3,"Rail","Green-D","OFF_PEAK",19349.531369126,24557.928557681
2023,4,3,"Rail","Green-D","PEAK",15598.264705016,19215.492521456
2023,4,3,"Rail","Red","OFF_PEAK",110256.470796438,124232.889621374
2023,4,3,"Rail","Red","PEAK",101437.737857407,114732.599738001
2023,4,4,"Rail","Green-D","OFF_PEAK",17327.382300669,22491.268906333
2023,4,4,"Rail","Green-D","PEAK",13060.613324609,17012.168191313
